date,day_label,day_th,is_weekend,menu_price,sheet,service_no,pax,pax_raw,guest_type,queue_start_hhmm,queue_end_hhmm,queue_start_min,queue_end_min,wait_min,queue_data_available,meal_start_hhmm,meal_end_hhmm,meal_start_min,meal_end_min,duration_min,duration_min_clean,duration_valid,duration_censored,table_raw,table_units,n_units,seats_held,zone,has_queue,has_meal,is_walkaway,is_waited,is_direct,pax_over_capacity,dq_flags
2026-03-13,ศุกร์ 13/3,ศุกร์,False,159,133,1,1.0,1.0,In house,,,,,,False,06:42,07:00,402.0,420.0,18.0,18.0,True,False,6,6_?,1,2,Indoor,False,True,False,False,True,False,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO
2026-03-13,ศุกร์ 13/3,ศุกร์,False,159,133,2,2.0,2.0,Walk in,,,,,,False,06:44,07:10,404.0,430.0,26.0,26.0,True,False,2,2_?,1,2,Indoor,False,True,False,False,True,False,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO
2026-03-13,ศุกร์ 13/3,ศุกร์,False,159,133,3,2.0,2.0,Walk in,,,,,,False,07:05,08:08,425.0,488.0,63.0,63.0,True,False,7A,7A,1,2,Outdoor,False,True,False,False,True,False,DQ01_NO_QUEUE_DATA_THIS_DAY
2026-03-13,ศุกร์ 13/3,ศุกร์,False,159,133,4,1.0,1.0,In house,,,,,,False,07:20,08:18,440.0,498.0,58.0,58.0,True,False,8A,8A,1,2,Outdoor,False,True,False,False,True,False,DQ01_NO_QUEUE_DATA_THIS_DAY
2026-03-13,ศุกร์ 13/3,ศุกร์,False,159,133,5,1.0,1.0,In house,,,,,,False,07:25,07:45,445.0,465.0,20.0,20.0,True,False,10A,10A,1,2,Outdoor,False,True,False,False,True,False,DQ01_NO_QUEUE_DATA_THIS_DAY
2026-03-13,ศุกร์ 13/3,ศุกร์,False,159,133,6,1.0,1.0,In house,,,,,,False,07:28,08:20,448.0,500.0,52.0,52.0,True,False,8B,8B,1,2,Outdoor,False,True,False,False,True,False,DQ01_NO_QUEUE_DATA_THIS_DAY
2026-03-13,ศุกร์ 13/3,ศุกร์,False,159,133,7,1.0,1.0,In house,,,,,,False,07:33,08:05,453.0,485.0,32.0,32.0,True,False,9,9_?,1,2,Outdoor,False,True,False,False,True,False,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO
2026-03-13,ศุกร์ 13/3,ศุกร์,False,159,133,8,5.0,5.0,Walk in,,,,,,False,07:42,08:40,462.0,520.0,58.0,58.0,True,False,4,4A|4B,2,4,Indoor,False,True,False,False,True,True,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO|DQ16_PAX_OVER_CAPACITY
2026-03-13,ศุกร์ 13/3,ศุกร์,False,159,133,9,4.0,4.0,In house,,,,,,False,07:48,08:21,468.0,501.0,33.0,33.0,True,False,11,11A|11B,2,4,Outdoor,False,True,False,False,True,False,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO
2026-03-13,ศุกร์ 13/3,ศุกร์,False,159,133,10,2.0,2.0,In house,,,,,,False,07:48,08:35,468.0,515.0,47.0,47.0,True,False,16,16,1,4,Outdoor,False,True,False,False,True,False,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ03_TABLE16_NOT_IN_APPENDIX
2026-03-13,ศุกร์ 13/3,ศุกร์,False,159,133,11,2.0,2.0,Walk in,,,,,,False,07:50,08:48,470.0,528.0,58.0,58.0,True,False,6,6_?,1,2,Indoor,False,True,False,False,True,False,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO
