date,day_label,sheet,service_no,unit,unit_base,zone,is_inferred_side,pax,guest_type,meal_start_min,meal_end_min,duration_min_clean,dq_flags,overlap_conflict
2026-03-13,ศุกร์ 13/3,133,1,6_?,6,Indoor,True,1.0,In house,402.0,420.0,18.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,2,2_?,2,Indoor,True,2.0,Walk in,404.0,430.0,26.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,3,7A,7A,Outdoor,False,2.0,Walk in,425.0,488.0,63.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,4,8A,8A,Outdoor,False,1.0,In house,440.0,498.0,58.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,5,10A,10A,Outdoor,False,1.0,In house,445.0,465.0,20.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,6,8B,8B,Outdoor,False,1.0,In house,448.0,500.0,52.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,7,9_?,9,Outdoor,True,1.0,In house,453.0,485.0,32.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,8,4A,4A,Indoor,False,5.0,Walk in,462.0,520.0,58.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO|DQ16_PAX_OVER_CAPACITY,False
2026-03-13,ศุกร์ 13/3,133,8,4B,4B,Indoor,False,5.0,Walk in,462.0,520.0,58.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO|DQ16_PAX_OVER_CAPACITY,False
2026-03-13,ศุกร์ 13/3,133,9,11A,11A,Outdoor,False,4.0,In house,468.0,501.0,33.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,9,11B,11B,Outdoor,False,4.0,In house,468.0,501.0,33.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,10,16,16,Outdoor,False,2.0,In house,468.0,515.0,47.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ03_TABLE16_NOT_IN_APPENDIX,False
2026-03-13,ศุกร์ 13/3,133,11,6_?,6,Indoor,True,2.0,Walk in,470.0,528.0,58.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,12,7B,7B,Outdoor,False,1.0,In house,476.0,495.0,19.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,13,10A,10A,Outdoor,False,1.0,In house,479.0,515.0,36.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,14,1_?,1,Indoor,True,1.0,Walk in,480.0,559.0,79.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,15,8C,8C,Outdoor,False,1.0,Walk in,483.0,507.0,24.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,16,12,12,Outdoor,False,2.0,In house,485.0,505.0,20.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,17,14,14,Outdoor,False,1.0,In house,494.0,543.0,49.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,18,7A,7A,Outdoor,False,2.0,Walk in,495.0,570.0,75.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,19,15A,15A,Outdoor,False,1.0,In house,496.0,545.0,49.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ05_TABLE15_SPLIT,False
2026-03-13,ศุกร์ 13/3,133,20,10B,10B,Outdoor,False,1.0,In house,499.0,515.0,16.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,21,3A,3A,Indoor,False,4.0,Walk in,504.0,646.0,142.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,21,3B,3B,Indoor,False,4.0,Walk in,504.0,646.0,142.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,22,5_?,5,Indoor,True,2.0,In house,505.0,562.0,57.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,23,2_?,2,Indoor,True,2.0,Walk in,505.0,612.0,107.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,24,8A,8A,Outdoor,False,1.0,Walk in,513.0,570.0,57.0,DQ01_NO_QUEUE_DATA_THIS_DAY,True
2026-03-13,ศุกร์ 13/3,133,25,11A,11A,Outdoor,False,1.0,Walk in,521.0,565.0,44.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,26,16,16,Outdoor,False,1.0,Walk in,523.0,575.0,52.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ03_TABLE16_NOT_IN_APPENDIX,False
2026-03-13,ศุกร์ 13/3,133,27,12,12,Outdoor,False,1.0,In house,527.0,558.0,31.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,28,10A,10A,Outdoor,False,2.0,In house,533.0,568.0,35.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,29,7B,7B,Outdoor,False,1.0,In house,533.0,553.0,20.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,30,6A,6A,Indoor,False,3.0,In house,540.0,573.0,33.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,30,6B,6B,Indoor,False,3.0,In house,540.0,573.0,33.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,31,4_?,4,Indoor,True,2.0,Walk in,545.0,600.0,55.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,32,8B,8B,Outdoor,False,2.0,In house,545.0,579.0,34.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,33,15A,15A,Outdoor,False,2.0,Walk in,547.0,607.0,60.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ05_TABLE15_SPLIT,False
2026-03-13,ศุกร์ 13/3,133,34,8A,8A,Outdoor,False,2.0,In house,548.0,609.0,61.0,DQ01_NO_QUEUE_DATA_THIS_DAY,True
2026-03-13,ศุกร์ 13/3,133,35,8_?,8,Outdoor,True,2.0,Walk in,556.0,606.0,50.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,36,12,12,Outdoor,False,1.0,In house,563.0,597.0,34.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,37,7C,7C,Outdoor,False,1.0,In house,508.0,570.0,62.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,38,11A,11A,Outdoor,False,1.0,In house,570.0,605.0,35.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,39,1A,1A,Indoor,False,3.0,In house,576.0,650.0,74.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,39,1B,1B,Indoor,False,3.0,In house,576.0,650.0,74.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,40,5_?,5,Indoor,True,2.0,Walk in,574.0,640.0,66.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,41,6_?,6,Indoor,True,2.0,In house,582.0,630.0,48.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,42,7A,7A,Outdoor,False,1.0,Walk in,593.0,660.0,67.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,43,16,16,Outdoor,False,2.0,In house,595.0,634.0,39.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ03_TABLE16_NOT_IN_APPENDIX,False
2026-03-13,ศุกร์ 13/3,133,44,7B,7B,Outdoor,False,2.0,In house,603.0,635.0,32.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,45,12,12,Outdoor,False,2.0,In house,605.0,666.0,61.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,46,10A,10A,Outdoor,False,2.0,In house,608.0,650.0,42.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
