unit,seats,zone,in_appendix2
1A,2,Indoor,True
1B,2,Indoor,True
2A,2,Indoor,True
2B,2,Indoor,True
3A,2,Indoor,True
3B,2,Indoor,True
4A,2,Indoor,True
4B,2,Indoor,True
5A,2,Indoor,True
5B,2,Indoor,True
6A,2,Indoor,True
6B,2,Indoor,True
10A,2,Outdoor,True
10B,2,Outdoor,True
11A,2,Outdoor,True
11B,2,Outdoor,True
12,4,Outdoor,True
13,4,Outdoor,True
14,4,Outdoor,True
15,4,Outdoor,True
15A,2,Outdoor,False
15B,2,Outdoor,False
16,4,Outdoor,False
7A,2,Outdoor,True
7B,2,Outdoor,True
7C,2,Outdoor,True
8A,2,Outdoor,True
8B,2,Outdoor,True
8C,2,Outdoor,True
9A,2,Outdoor,True
9B,2,Outdoor,True
9C,2,Outdoor,True
